tic_id,mass,rad,Tmag,logg,Teff,Epoc,Period,Duration,sector,score
158236730,nan,10.3833,13.565,nan,4873.0,3.5576702893282928,7.269555103227682,3.7483643501017667,13,0.119
158236810,nan,18.7326,12.6786,nan,4389.0,6.106074662480946,7.258474268708717,3.9127712854757917,13,0.207
158399939,1.01,1.01464,12.8243,4.42977,5673.0,-0.7058973603047896,7.256894049346879,4.932420174165457,13,0.268
158445010,nan,11.0036,12.723,nan,4731.0,-0.6350292543541365,7.256894049346879,6.293087808417996,13,0.761
246339656,nan,nan,13.438,nan,nan,-0.5884594087057011,1.5408320493066254,5.236421417565484,13,0.914
246342106,nan,49.7451,13.0569,nan,3660.0,-0.3279563396944205,3.0929110478782627,2.2471931832240513,13,0.454
26446095,nan,20.5556,13.1842,nan,4602.0,-0.4069954085848786,0.9284964856408018,4.352327276441257,13,0.852
264789981,1.53,2.4237,11.7661,3.8538,6976.0,-0.6600317928720044,0.6266920685851799,2.0416452546876562,13,0.944
264790153,nan,nan,13.3491,nan,nan,-0.47139543475671686,0.6268570640522547,2.0421827789827347,13,0.937
26561370,nan,10.917,12.9336,nan,4874.0,-0.684845185937166,0.6106310872286508,3.0483848807742806,13,0.259
271363345,1.11,1.46891,12.4241,4.1494,5998.0,2.843026023484607,7.933989209774674,3.347151697873695,13,0.477
370016595,1.03,2.98006,11.6603,3.50245,5749.0,4.141104412403212,7.236413633403285,5.257706780519591,13,0.745
424846952,nan,9.81657,13.2331,nan,4836.0,4.252243985754779,7.26797005596337,5.791663638345824,13,0.389
424847035,0.69,0.685701,13.4807,4.60465,4404.0,6.065082991505736,7.260055176419341,5.274883839117166,13,0.403
424985695,nan,7.6311,12.4557,nan,4834.0,1.9513448507030007,7.247427163357009,6.454739817364832,13,0.502
469776989,1.09,1.44288,13.2315,4.15703,5962.0,7.321854124549528,8.789663355893468,3.0901160235562912,13,0.493
469776992,1.16,1.15659,12.7425,4.37616,6132.0,7.718695079086116,8.787346221441124,2.4714411247803127,13,0.205
56999508,1.13,1.6399,13.1101,4.06151,6051.0,-0.7269262015604285,1.5238559651341756,1.6786225865931161,13,0.346
57628161,nan,38.3274,12.606,nan,3806.0,-0.3918349357073381,2.3724229555645175,5.393555313041206,13,0.781
6398609,1.34,1.9399,12.4577,3.98961,6512.0,1.4023112002753422,7.2458517498731965,5.943862763567857,13,0.506
6398613,1.12,1.37789,13.4966,4.20886,6037.0,1.4093872273748271,7.2458517498731965,6.623161365118467,13,0.574
6472887,1.01,1.29737,12.2257,4.21626,5672.0,0.6919060347952155,7.249003262051467,5.4367524465386,13,0.618
6475276,1.11,1.41015,12.6035,4.18486,6008.0,1.4200012680240555,7.2458517498731965,6.113687413955507,13,0.225
6475293,1.21,1.23637,12.7613,4.33656,6240.0,0.7025246919173611,7.249003262051467,5.946447988401594,13,0.344
6528910,1.03,1.62705,13.3238,4.0281,5763.0,5.783554565580315,7.258474268708717,8.165783552297299,13,0.348
6529048,0.96,0.897089,12.3911,4.51467,5470.0,5.769377858024242,7.258474268708717,6.804819626914416,13,0.773
6667751,nan,nan,13.5994,nan,nan,0.7343806632837984,7.249003262051467,7.135737586081914,13,0.511
